"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.econjobrumors.com/","text/html; charset=UTF-8","200","OK","Indexable","","Economics Job Market Rumors - Forum for Economists","50","490","Economics Job Market Rumors. A forum for economists to discuss economics, economics jobs, conferences, journals and more","120","785","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","","0","Upcoming Conferences Add+","25","","","","","","","","","","51958","1399","272","5.143","89.681","Easy","15.906","0","","1319","446","0","99.780","278","203","0","7","7","0","","","","","4b6487555f16abc1fd93ae5f67815d0c","0.205","","","","","1.1","https://www.econjobrumors.com/","2022-12-11 16:19:43"
"https://www.econjobrumors.com/topic/⚽⚽⚽france-vs-england-official-thread-⚽⚽⚽","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","","","","","0.000","1","","4","3","0","0.670","0","0","0","0","0","0","","","","","","0.216","","https://www.econjobrumors.com/topic/⚽⚽⚽france-vs-england-official-thread-⚽⚽⚽","HTTP Redirect","","1.1","https://www.econjobrumors.com/topic/%E2%9A%BD%E2%9A%BD%E2%9A%BDfrance-vs-england-official-thread-%E2%9A%BD%E2%9A%BD%E2%9A%BD","2022-12-11 16:19:46"
"https://www.econjobrumors.com/conferences.php","text/html; charset=UTF-8","200","OK","Indexable","","Upcoming Economics Conferences / Conferences in Economics","57","564","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Upcoming Conferences in Economics","33","Add New Conference","18","","","","","","","","","","34071","267","71","3.761","73.108","Fairly Easy","18.041","1","","902","446","0","99.780","68","56","0","0","0","0","","","","","e66bb45f8c8dbc35bce6e42dd76ff3cc","0.176","","","","","1.1","https://www.econjobrumors.com/conferences.php","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/coup-attempt-in-germany","text/html; charset=UTF-8","200","OK","Indexable","","Coup attempt in Germany « Economics Job Market Rumors","53","526","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Coup attempt in Germany","23","Reply »","7","","","","","","","","","","32998","1212","242","5.008","84.694","Easy","21.790","1","","28","3","0","0.670","108","74","0","1","1","0","","","","","7934f60f61cfbf576aa45780b658c756","0.211","","","","","1.1","https://www.econjobrumors.com/topic/coup-attempt-in-germany","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/what-philosophers-do-you-guys-recommend","text/html; charset=UTF-8","200","OK","Indexable","","What philosophers do you guys recommend? « Economics Job Market Rumors","70","693","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","What philosophers do you guys recommend?","40","Reply »","7","","","","","","","","","","29948","721","188","3.835","95.110","Very Easy","13.638","1","","25","2","0","0.450","108","74","0","0","0","0","","","","","b102fb2ddbae306f1ee75d8835e314a1","0.228","","","","","1.1","https://www.econjobrumors.com/topic/what-philosophers-do-you-guys-recommend","2022-12-11 16:19:46"
"https://www.econjobrumors.com/forum/sport","text/html; charset=UTF-8","200","OK","Indexable","","Sport « Economics Job Market Rumors","35","344","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","New Topic in this Forum","23","","0","","","","","","","","","","32280","786","131","6.000","100.000","Very Easy","13.401","1","","482","446","0","99.780","146","99","0","0","0","0","","","","","d801619bf1b7b325b3575bddcc7541e9","0.222","","","","","1.1","https://www.econjobrumors.com/forum/sport","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/claudia-vows-to-sue-carl","text/html; charset=UTF-8","200","OK","Indexable","","Claudia vows to sue Carl « Economics Job Market Rumors","54","515","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Claudia vows to sue Carl","24","Reply »","7","","","","","","","","","","31060","951","216","4.403","95.615","Very Easy","17.103","1","","26","3","0","0.670","108","74","0","2","2","0","","","","","331c49239624c09691deb0b0970b6da9","0.098","","","","","1.1","https://www.econjobrumors.com/topic/claudia-vows-to-sue-carl","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/has-darden-called-yet","text/html; charset=UTF-8","200","OK","Indexable","","Has Darden Called yet? « Economics Job Market Rumors","52","502","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Has Darden Called yet?","22","Reply","5","","","","","","","","","","22563","572","141","4.057","98.742","Very Easy","14.559","1","","31","3","0","0.670","86","52","0","0","0","0","","","","","7e3dd0d45db77ddd5f0a0e44f7694785","0.073","","","","","1.1","https://www.econjobrumors.com/topic/has-darden-called-yet","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/official-thread-for-brazilian-economists","text/html; charset=UTF-8","200","OK","Indexable","","Official Thread for Brazilian Economists « Economics Job Market Rumors","70","649","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Official Thread for Brazilian Economists","40","Reply »","7","","","","","","","","","","31401","926","214","4.327","95.186","Very Easy","16.732","1","","26","3","0","0.670","108","74","0","1","1","0","","","","","2dc28bd804d0ee23eabc6aa146a1ac3","0.082","","","","","1.1","https://www.econjobrumors.com/topic/official-thread-for-brazilian-economists","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/diversity-statement-5","text/html; charset=UTF-8","200","OK","Indexable","","Diversity statement « Economics Job Market Rumors","49","471","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Diversity statement","19","Reply »","7","","","","","","","","","","33761","1477","276","5.351","81.463","Easy","25.121","1","","28","5","0","1.120","107","73","0","0","0","0","","","","","573bd0a9df88c6a15d77d35e0ac0404e","0.085","","","","","1.1","https://www.econjobrumors.com/topic/diversity-statement-5","2022-12-11 16:19:46"
"https://www.econjobrumors.com/conferences.php?add=new","text/html; charset=UTF-8","200","OK","Indexable","","Upcoming Economics Conferences / Conferences in Economics","57","564","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Upcoming Conferences in Economics","33","Add New Conference","18","","","","","","","","","","34072","267","71","3.761","73.108","Fairly Easy","18.040","1","","5","2","0","0.450","68","57","0","0","0","0","","","","","1e1a4b9be4bf2edd5def44cfa331af9c","0.060","","","","","1.1","https://www.econjobrumors.com/conferences.php?add=new","2022-12-11 16:19:46"
"https://www.econjobrumors.com/forum/off-topic","text/html; charset=UTF-8","200","OK","Indexable","","Off Topic « Economics Job Market Rumors","39","378","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","New Topic in this Forum","23","","0","","","","","","","","","","35649","868","148","5.865","100.000","Very Easy","13.591","1","","527","446","0","99.780","167","116","0","0","0","0","","","","","739561a9cfd34ad3e2fa0da29106c94","0.106","","","","","1.1","https://www.econjobrumors.com/forum/off-topic","2022-12-11 16:19:46"
"https://www.econjobrumors.com/forum/european-job-market","text/html; charset=UTF-8","200","OK","Indexable","","European Job Market « Economics Job Market Rumors","49","486","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","New Topic in this Forum","23","","0","","","","","","","","","","34685","707","125","5.656","100.000","Very Easy","11.256","1","","533","446","0","99.780","184","137","0","0","0","0","","","","","d951781f76ee29501cd55ab830d3b3b6","0.099","","","","","1.1","https://www.econjobrumors.com/forum/european-job-market","2022-12-11 16:19:46"
"https://www.econjobrumors.com/forum/political-economy","text/html; charset=UTF-8","200","OK","Indexable","","Political Economy & Economic Policy « Economics Job Market Rumors","65","621","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","New Topic in this Forum","23","","0","","","","","","","","","","30623","700","142","4.930","100.000","Very Easy","13.238","1","","484","446","0","99.780","140","93","0","0","0","0","","","","","b9b3711fd596a9bf4287e9ec6f309ef6","0.099","","","","","1.1","https://www.econjobrumors.com/forum/political-economy","2022-12-11 16:19:46"
"https://www.econjobrumors.com/forum/research-journals","text/html; charset=UTF-8","200","OK","Indexable","","Research / Journals « Economics Job Market Rumors","49","474","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","New Topic in this Forum","23","","0","","","","","","","","","","38243","845","142","5.951","100.000","Very Easy","12.250","1","","535","446","0","99.780","196","143","0","0","0","0","","","","","921e4018ff0296edf2c2735f19f43fee","0.103","","","","","1.1","https://www.econjobrumors.com/forum/research-journals","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/actual-fraud-at-jar/page/3","text/html; charset=UTF-8","200","OK","Indexable","","Actual Fraud at JAR « Economics Job Market Rumors","49","473","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Actual Fraud at JAR","19","Reply »","7","","","","","","","","","","36911","1910","354","5.395","84.469","Easy","29.781","1","","30","5","0","1.120","112","77","0","0","0","0","","","","","6327653f7c74f0df7bc60d585446aef3","0.083","","","","","1.1","https://www.econjobrumors.com/topic/actual-fraud-at-jar/page/3","2022-12-11 16:19:47"
"https://www.econjobrumors.com/topic/analytic-number-theorists-your-opinion-on-tks-claimed-disproof-of-the-rh/page/15","text/html; charset=UTF-8","200","OK","Indexable","","Analytic number theorists: your opinion on TK's claimed disproof of the RH ? « Economics Job Market Rumors","106","969","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Analytic number theorists: your opinion on TK's claimed disproof of the RH ?","76","Reply","5","","","","","","","","","","39642","2423","419","5.783","85.011","Easy","35.915","1","","61","8","0","1.790","103","54","0","1","1","0","","","","","8ec4ace16a9ae4f8c7ecaf0c7a87360a","0.082","","","","","1.1","https://www.econjobrumors.com/topic/analytic-number-theorists-your-opinion-on-tks-claimed-disproof-of-the-rh/page/15","2022-12-11 16:19:47"
"https://www.econjobrumors.com/topic/half-of-women-over-30-are-childless-for-the-first-time","text/html; charset=UTF-8","200","OK","Indexable","","Half of women over 30 are childless for the first time « Economics Job Market Rumors","84","766","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Half of women over 30 are childless for the first time","54","Reply »","7","","","","","","","","","","32590","1019","240","4.246","93.351","Very Easy","17.629","1","","25","2","0","0.450","108","74","0","1","1","0","","","","","8fab1cc9dea8ad34fb53671ad4a15063","0.078","","","","","1.1","https://www.econjobrumors.com/topic/half-of-women-over-30-are-childless-for-the-first-time","2022-12-11 16:19:47"
"https://www.econjobrumors.com/wiki.php?h=1670723992","text/html; charset=UTF-8","200","OK","Indexable","","Economics Job Market Updates / Wiki","35","338","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","Economics Job Market Wiki","25","Add Job","7","","0","","","","","","","","","","139216","3540","1116","3.172","97.053","Very Easy","18.849","1","","453","446","0","99.780","714","703","0","12","12","0","","","","","634991894f32bf77184ccb1339458790","0.075","","","","","1.1","https://www.econjobrumors.com/wiki.php?h=1670723992","2022-12-11 16:19:46"
"https://www.econjobrumors.com/topic/actual-fraud-at-jar/page/2","text/html; charset=UTF-8","200","OK","Indexable","","Actual Fraud at JAR « Economics Job Market Rumors","49","473","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Actual Fraud at JAR","19","Reply »","7","","","","","","","","","","36087","1701","321","5.299","83.235","Easy","27.490","1","","30","5","0","1.120","111","76","0","2","2","0","","","","","4a6914c788d62a8d49275528d6a1ab9d","0.080","","","","","1.1","https://www.econjobrumors.com/topic/actual-fraud-at-jar/page/2","2022-12-11 16:19:47"
"https://www.econjobrumors.com/topic/grandparenting-is-disappearing/page/2","text/html; charset=UTF-8","200","OK","Indexable","","Grandparenting is disappearing. « Economics Job Market Rumors","61","580","","0","0","economics, economist, finance, econometrics, forum, jobs, phd, professor, trading, banking","90","","0","Grandparenting is disappearing.","31","Reply","5","","","","","","","","","","16320","393","92","4.272","84.963","Easy","15.518","1","","17","4","0","0.890","70","53","0","0","0","0","","","","","594fa6917fa22d33a5fd9a4ad632d178","0.071","","","","","1.1","https://www.econjobrumors.com/topic/grandparenting-is-disappearing/page/2","2022-12-11 16:19:47"
